"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2269","Delete user","tests.users","Fri Dec 05 11:01:29 UTC 2025","passed","Fri Dec 05 11:01:31 UTC 2025","TestUsers","test_users","",""
"","1627","Get games by name: 'Atomic'","tests.games","Fri Dec 05 11:01:24 UTC 2025","passed","Fri Dec 05 11:01:26 UTC 2025","TestGames","test_games","",""
"","559","Update user with occupied data","tests.users","Fri Dec 05 11:01:32 UTC 2025","passed","Fri Dec 05 11:01:32 UTC 2025","TestUsers","test_users","",""
"","1824","Get games by name: 'fsagasgas'","tests.games","Fri Dec 05 11:01:25 UTC 2025","passed","Fri Dec 05 11:01:27 UTC 2025","TestGames","test_games","",""
"","2368","Create user","tests.users","Fri Dec 05 11:01:27 UTC 2025","failed","Fri Dec 05 11:01:30 UTC 2025","TestUsers","test_users","",""
"","1398","Get games by name: ' '","tests.games","Fri Dec 05 11:01:26 UTC 2025","passed","Fri Dec 05 11:01:27 UTC 2025","TestGames","test_games","",""
"","1089","Get current status","tests.setup","Fri Dec 05 11:01:27 UTC 2025","passed","Fri Dec 05 11:01:28 UTC 2025","TestSetup","test_setup","",""
"","3520","Add item to wishlist","tests.wishlists","Fri Dec 05 11:01:32 UTC 2025","passed","Fri Dec 05 11:01:36 UTC 2025","TestWishlists","test_wishlists","",""
