"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","QA playground","0","Users","1","0","Delete entity","0"
"0","QA playground","0","Games","3","0","Get entities","0"
"0","QA playground","0","Users","1","0","Validate entity","0"
"0","QA playground","1","Users","0","0","Create entity","0"
"0","QA playground","0","Setup","1","0","Get entity","0"
"0","QA playground","0","Wishlists","1","0","Create entity","0"
