"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2408","Create user","tests.users","Fri Dec 05 11:19:01 UTC 2025","failed","Fri Dec 05 11:19:03 UTC 2025","TestUsers","test_users","",""
"","1261","Get games by name: 'fsagasgas'","tests.games","Fri Dec 05 11:18:58 UTC 2025","passed","Fri Dec 05 11:18:59 UTC 2025","TestGames","test_games","",""
"","1073","Get games by name: 'Atomic'","tests.games","Fri Dec 05 11:18:58 UTC 2025","passed","Fri Dec 05 11:18:59 UTC 2025","TestGames","test_games","",""
"","1940","Get current status","tests.setup","Fri Dec 05 11:18:59 UTC 2025","passed","Fri Dec 05 11:19:01 UTC 2025","TestSetup","test_setup","",""
"","3378","Add item to wishlist","tests.wishlists","Fri Dec 05 11:19:08 UTC 2025","passed","Fri Dec 05 11:19:12 UTC 2025","TestWishlists","test_wishlists","",""
"","586","Update user with occupied data","tests.users","Fri Dec 05 11:19:06 UTC 2025","passed","Fri Dec 05 11:19:07 UTC 2025","TestUsers","test_users","",""
"","1649","Get games by name: ' '","tests.games","Fri Dec 05 11:18:59 UTC 2025","passed","Fri Dec 05 11:19:01 UTC 2025","TestGames","test_games","",""
"","2453","Delete user","tests.users","Fri Dec 05 11:19:02 UTC 2025","passed","Fri Dec 05 11:19:05 UTC 2025","TestUsers","test_users","",""
